Location,Account,Campaign,Platform
"10 miles around Gonzales, LA",CGDR,Nationwide,BING
"10 miles around Huron, Ohio, United States",CGDR,Nationwide,BING
10 miles around Lat: 38.73 Long: -120.8,CGDR,Nationwide,BING
"10 miles around Laughlintown, PA",CGDR,Nationwide,BING
"12 miles around New Florence, PA",CGDR,Nationwide,BING
"13 miles around West Alexander, PA",CGDR,Nationwide,BING
"15 miles around 26 S Phelps St, Youngstown, OH 44503, United State",CGDR,Nationwide,BING
"15 miles around Canton, Ohio, United States",CGDR,Nationwide,BING
"15 miles around Flint, Michigan, United States",CGDR,Nationwide,BING
15 miles around Lat: 32.72 Long: -117.16,CGDR,Nationwide,BING
15 miles around Lat: 32.84 Long: -116.77,CGDR,Nationwide,BING
15 miles around Lat: 33.56 Long: -117.21,CGDR,Nationwide,BING
15 miles around Lat: 34.54 Long: -117.29,CGDR,Nationwide,BING
15 miles around Lat: 34.9 Long: -117.02,CGDR,Nationwide,BING
15 miles around Lat: 39.1 Long: -120.95,CGDR,Nationwide,BING
15 miles around Lat: 39.14 Long: -121.62,CGDR,Nationwide,BING
"15 miles around Wooster, Ohio, United States",CGDR,Nationwide,BING
"15 miles around Youngstown, Ohio, United States",CGDR,Nationwide,BING
18 miles around Lat: 43.16 Long: -77.61,CGDR,Nationwide,BING
18 miles around Lat: 43.17 Long: -78.69,CGDR,Nationwide,BING
"20 miles around Buellton, CA",CGDR,Nationwide,BING
"20 miles around Chowchilla, California, United States",CGDR,Nationwide,BING
"20 miles around Connellsville, PA",CGDR,Nationwide,BING
"20 miles around Gaffney, SC",CGDR,Nationwide,BING
"20 miles around Hanford, California, United States",CGDR,Nationwide,BING
20 miles around Lat: 25.76 Long: -80.19,CGDR,Nationwide,BING
20 miles around Lat: 29.3 Long: -94.8,CGDR,Nationwide,BING
20 miles around Lat: 29.89 Long: -81.31,CGDR,Nationwide,BING
20 miles around Lat: 33.12 Long: -117.09,CGDR,Nationwide,BING
20 miles around Lat: 33.2 Long: -117.38,CGDR,Nationwide,BING
20 miles around Lat: 34.7 Long: -118.15,CGDR,Nationwide,BING
