Location,Account,Campaign,Platform
"92374, California, United States",CGDR,Nationwide (CA),GOOGLE
"95131, California, United States",CGDR,Nationwide (CA),GOOGLE
"95834, California, United States",CGDR,Nationwide (CA),GOOGLE
"92270, California, United States",CGDR,Nationwide (CA),GOOGLE
"93611, California, United States",CGDR,Nationwide (CA),GOOGLE
"91006, California, United States",CGDR,Nationwide (CA),GOOGLE
"92037, California, United States",CGDR,Nationwide (CA),GOOGLE
"91913, California, United States",CGDR,Nationwide (CA),GOOGLE
"94602, California, United States",CGDR,Nationwide (CA),GOOGLE
"92807, California, United States",CGDR,Nationwide (CA),GOOGLE
"92101, California, United States",CGDR,Nationwide (CA),GOOGLE
"95138, California, United States",CGDR,Nationwide (CA),GOOGLE
"91755, California, United States",CGDR,Nationwide (CA),GOOGLE
"92336, California, United States",CGDR,Nationwide (CA),GOOGLE
"92324, California, United States",CGDR,Nationwide (CA),GOOGLE
"92020, California, United States",CGDR,Nationwide (CA),GOOGLE
"94574, California, United States",CGDR,Nationwide (CA),GOOGLE
"91311, California, United States",CGDR,Nationwide (CA),GOOGLE
"92064, California, United States",CGDR,Nationwide (CA),GOOGLE
"92688, California, United States",CGDR,Nationwide (CA),GOOGLE
"93035, California, United States",CGDR,Nationwide (CA),GOOGLE
"90275, California, United States",CGDR,Nationwide (CA),GOOGLE
"91105, California, United States",CGDR,Nationwide (CA),GOOGLE
"95336, California, United States",CGDR,Nationwide (CA),GOOGLE
"91351, California, United States",CGDR,Nationwide (CA),GOOGLE
"92802, California, United States",CGDR,Nationwide (CA),GOOGLE
"90007, California, United States",CGDR,Nationwide (CA),GOOGLE
"92201, California, United States",CGDR,Nationwide (CA),GOOGLE
"91307, California, United States",CGDR,Nationwide (CA),GOOGLE
"93710, California, United States",CGDR,Nationwide (CA),GOOGLE
"91354, California, United States",CGDR,Nationwide (CA),GOOGLE
"93401, California, United States",CGDR,Nationwide (CA),GOOGLE
"91301, California, United States",CGDR,Nationwide (CA),GOOGLE
"91702, California, United States",CGDR,Nationwide (CA),GOOGLE
"95648, California, United States",CGDR,Nationwide (CA),GOOGLE
"94028, California, United States",CGDR,Nationwide (CA),GOOGLE
"95630, California, United States",CGDR,Nationwide (CA),GOOGLE
"92210, California, United States",CGDR,Nationwide (CA),GOOGLE
"93065, California, United States",CGDR,Nationwide (CA),GOOGLE
"91732, California, United States",CGDR,Nationwide (CA),GOOGLE
"94085, California, United States",CGDR,Nationwide (CA),GOOGLE
"91326, California, United States",CGDR,Nationwide (CA),GOOGLE
"92118, California, United States",CGDR,Nationwide (CA),GOOGLE
